MEMBERTOURID,TOURID,TOURNAME
"206425","3","FDR Home & Museum Group Tours"
"206426","3","FDR Home & Museum Group Tours"
"351718","41","Early Tour & Full Moon Package"
"352968","41","Early Tour & Full Moon Package"
"317399","46","USS Arizona Memorial with Narrated Tour"
"317499","46","USS Arizona Memorial with Narrated Tour"
"317399","47","Passport to Pearl Harbor"
"317500","47","Passport to Pearl Harbor"
"206088","53","Combo Tour Individual"
"206329","53","Combo Tour Individual"
"206331","53","Combo Tour Individual"
"206362","85","Combo Group Tour"
"206425","85","Combo Group Tour"
"206426","85","Combo Group Tour"
"206428","85","Combo Group Tour"
"305359","132","House-Underground Combo Tour"
"305509","132","House-Underground Combo Tour"
"416070","197","Gothic Palace - Accessible"
"416120","197","Gothic Palace - Accessible"
"451821","260","Early Tour & Dances of the Ancients Package 8:30 am"
"453872","260","Early Tour & Dances of the Ancients Package 8:30 am"
"453871","268","Early Tour & Dances of the Ancients Package 11:30 am"
"453873","268","Early Tour & Dances of the Ancients Package 11:30 am"
"317399","289","USS Arizona Memorial Deluxe Tour"
"470974","289","USS Arizona Memorial Deluxe Tour"
"474925","300","Early Tour & Stories at Sunset Package"
"477921","300","Early Tour & Stories at Sunset Package"
